"STRUCTURE_NUMBER_008","COUNTY_CODE_003_L","ROUTE_PREFIX_005B_L","MAINTENANCE_021_L","YEAR_BUILT_027","ADT_029","STRUCTURE_KIND_043A_L","STRUCTURAL_EVAL_067","BRIDGE_IMP_COST_094"
"N19033AMXMUNNBI","Hampshire","City street","City or Municipal Highway Agency",2002,1940,"Concrete",7,948000
"N19035BDBMUNNBI","Hampshire","City street","City or Municipal Highway Agency",2013,1500,"Prestressed concrete",7,806000
"N190370RHMUNNBI","Hampshire","City street","City or Municipal Highway Agency",1956,1422,"Prestressed concrete",7,467000
"N190420UVDOTNBI","Hampshire","State highway","State Highway Agency",1957,19655,"Concrete",6,640000
"N190460MKMUNNBI","Hampshire","City street","City or Municipal Highway Agency",1850,2008,"Masonry",4,486000
"N190460MRMUNNBI","Hampshire","City street","City or Municipal Highway Agency",1850,2008,"Masonry",3,205000
"N190560YXDOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,27446,"Steel",6,1021000
"N190560YYDOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,27903,"Steel",6,1021000
"N19059100DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,29780,"Steel",4,7159000
"N19059101DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,24000,"Steel",4,15206000
"N19060102DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,23955,"Steel",4,1432000
"N19060103DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,29398,"Steel",4,1432000
"N19061104DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,36140,"Steel",5,1432000
"N19061105DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,36140,"Steel",5,1432000
"N19062106DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,23875,"Steel",5,2652000
"N19062107DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,18273,"Steel",5,2652000
"N19063108DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,16917,"Steel",5,1485000
"N19063109DOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,17735,"Steel",6,1485000
"N1906410CDOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,15900,"Steel",5,2493000
"N1906410DDOTNBI","Hampshire","Interstate highway","State Highway Agency",1965,15036,"Steel",5,2493000
"N1906510ADOTNBI","Hampshire","Interstate highway","State Highway Agency",1963,12026,"Steel",5,6571000
"N1906510BDOTNBI","Hampshire","Interstate highway","State Highway Agency",1963,12026,"Steel",5,5770000
"N1906610EDOTNBI","Hampshire","Interstate highway","State Highway Agency",1963,3792,"Steel",5,1757000
"N190680RCMUNNBI","Hampshire","City street","City or Municipal Highway Agency",1940,100,"Concrete",0,962000
"N19068BKTMUNNBI","Hampshire","City street","City or Municipal Highway Agency",1991,100,"Steel",5,1063000
"P040050RLMUNNBI","Hampshire","City street","Town or Township Highway Agency",1953,1646,"Steel",6,623000
"P04006B2PMUNNBI","Hampshire","City street","Town or Township Highway Agency",2015,300,"Steel",8,0
"P04007B2NMUNNBI","Hampshire","City street","Town or Township Highway Agency",2015,300,"Steel",8,0
"P110120J1MUNNBI","Hampshire","City street","Town or Township Highway Agency",1940,129,"Steel",6,1383000
"P110140J2MUNNBI","Hampshire","City street","Town or Township Highway Agency",1940,129,"Steel",6,1247000
"S180010T0MUNNBI","Hampshire","City street","Town or Township Highway Agency",1976,1910,"Steel",5,1347000
"S180020RYMUNNBI","Hampshire","City street","Town or Township Highway Agency",1956,646,"Prestressed concrete",5,401000
"S180050VJDOTNBI","Hampshire","State highway","State Highway Agency",1956,8534,"Prestressed concrete",5,501000
"S18007AQGDOTNBI","Hampshire","State highway","State Highway Agency",2008,6077,"Prestressed concrete",8,802000
"S18009ANQMUNNBI","Hampshire","City street","Town or Township Highway Agency",1997,8664,"Concrete",6,379000
"S180100N1MUNNBI","Hampshire","City street","Town or Township Highway Agency",1949,2974,"Steel",4,297000
"S180150VUDOTNBI","Hampshire","U.S. numbered highway","State Highway Agency",1958,15300,"Steel",6,447000
